iter	Logloss
0	0.6857544622
1	0.6785936609
2	0.6713918707
3	0.6643604667
4	0.6573586984
5	0.6505206096
6	0.6437440501
7	0.6370033598
8	0.6303700948
9	0.6238315828
10	0.6173461492
11	0.6110458886
12	0.6047476072
13	0.5985428794
14	0.592394856
15	0.5863133169
16	0.5803735355
17	0.5744549869
18	0.568674209
19	0.5628663752
20	0.5572639054
21	0.5517451629
22	0.5462778321
23	0.5408737003
24	0.5355046301
25	0.5302447196
26	0.5250450757
27	0.5199719926
28	0.5149159476
29	0.509917535
30	0.5049798125
31	0.500178448
32	0.4954056738
33	0.4907278046
34	0.486038436
35	0.4814182623
36	0.4769215194
37	0.4724470342
38	0.4679998237
39	0.4637025919
40	0.4593361425
41	0.4550743321
42	0.4508631376
43	0.4467850725
44	0.442737483
45	0.4386930039
46	0.4347157769
47	0.4308678932
48	0.4270446229
49	0.4231568644
50	0.4193962864
51	0.4157007341
52	0.4120909914
53	0.4084896518
54	0.4049812064
55	0.4014986079
56	0.3980241651
57	0.3946365614
58	0.3911571638
59	0.3877676617
60	0.3845000861
61	0.3812832192
62	0.3780244932
63	0.374931006
64	0.3717667084
65	0.3686541313
66	0.3655697185
67	0.3625932855
68	0.3596862971
69	0.3567079176
70	0.3538210127
71	0.3509924863
72	0.3481808562
73	0.3454793845
74	0.3427118622
75	0.3400588016
76	0.3373531684
77	0.3347441996
78	0.33209952
79	0.3294994459
80	0.3269481664
81	0.3244417825
82	0.322039999
83	0.3196159581
84	0.3172286171
85	0.3148624685
86	0.3124780036
87	0.3101620183
88	0.3079292084
89	0.3057280718
90	0.3034710553
91	0.3012677328
92	0.2991227281
93	0.2969695913
94	0.294831011
95	0.2927940579
96	0.2906993411
97	0.2886359024
98	0.2866744658
99	0.2847461139
100	0.2827984862
101	0.2808088312
102	0.2789060234
103	0.2770956254
104	0.2752765345
105	0.2734203916
106	0.2716767152
107	0.2698479876
108	0.2680708711
109	0.2663262041
110	0.2646439605
111	0.2629919277
112	0.2613037326
113	0.2596371058
114	0.2580413639
115	0.2564098408
116	0.2548284791
117	0.2532171941
118	0.2517056289
119	0.2501650614
120	0.2486511481
121	0.2471622793
122	0.2457144414
123	0.244261159
124	0.2428537792
125	0.2413968952
126	0.2400062375
127	0.2385740053
128	0.237238577
129	0.2359134078
130	0.2346462717
131	0.2333738149
132	0.2321020868
133	0.2308246795
134	0.2295953013
135	0.2283101484
136	0.227120066
137	0.2258726704
138	0.2246956431
139	0.2234908595
140	0.2223025357
141	0.2211349809
142	0.2199467329
143	0.2188466617
144	0.2177104783
145	0.2166243889
146	0.2155546753
147	0.2144998332
148	0.2134515109
149	0.2124119231
150	0.2113684991
151	0.2103644173
152	0.2093743493
153	0.2083420381
154	0.2073276737
155	0.2063326648
156	0.2053767561
157	0.2044389256
158	0.2035075433
159	0.2025710414
160	0.2016423189
161	0.2007143889
162	0.1998089982
163	0.198952232
164	0.1980590275
165	0.1971695014
166	0.1962713794
167	0.1954165839
168	0.1945944842
169	0.1937789587
170	0.1929346421
171	0.1921031378
172	0.1913030337
173	0.1905072836
174	0.1897015923
175	0.1889597803
176	0.1881714934
177	0.1874219613
178	0.1866330075
179	0.185844824
180	0.1851192271
181	0.1843613577
182	0.1836147702
183	0.182897674
184	0.1822082201
185	0.1815243654
186	0.1808583845
187	0.1801707797
188	0.1794689615
189	0.1788185006
190	0.1781422228
191	0.1774547106
192	0.1768202892
193	0.1761376294
194	0.1754964172
195	0.1748769048
196	0.174258441
197	0.1736155444
198	0.1730095597
199	0.1723991565
200	0.1718120341
201	0.1712321139
202	0.1706384379
203	0.170047604
204	0.1694937265
205	0.168926785
206	0.1683792904
207	0.1678097048
208	0.167262229
209	0.1667465914
210	0.1662010608
211	0.1656519237
212	0.1651038178
213	0.1645586592
214	0.1640663552
215	0.1635483292
216	0.1630288284
217	0.1625162254
218	0.1620327093
219	0.161531076
220	0.1610185132
221	0.1605296252
222	0.1600571173
223	0.1595762349
224	0.1591001659
225	0.1586664463
226	0.1582086092
227	0.1577569838
228	0.1573093592
229	0.1568778218
230	0.1564283654
231	0.1559829722
232	0.1555359746
233	0.1551072076
234	0.1546699193
235	0.154258701
236	0.1538557009
237	0.153431044
238	0.1530352023
239	0.1526109053
240	0.1522062888
241	0.1518055828
242	0.1514145971
243	0.1510304389
244	0.1506602795
245	0.1502690466
246	0.1499148131
247	0.1495140941
248	0.149148544
249	0.1487905276
250	0.1484171616
251	0.1480478354
252	0.147709319
253	0.1473500651
254	0.1470050657
255	0.1466551808
256	0.1463332756
257	0.1460162433
258	0.1456608249
259	0.1453519374
260	0.1450028649
261	0.1446884814
262	0.1443576535
263	0.1440367441
264	0.143700962
265	0.1433659799
266	0.1430767339
267	0.142759755
268	0.1424547484
269	0.1421361282
270	0.1418260209
271	0.1415214816
272	0.1412228794
273	0.1409228501
274	0.1406414419
275	0.1403499771
276	0.1400654116
277	0.1397811651
278	0.1395044739
279	0.1392420431
280	0.1389519928
281	0.138671921
282	0.138389696
283	0.1381239734
284	0.1378549167
285	0.1375820675
286	0.1373153206
287	0.137052985
288	0.1368083831
289	0.1365562984
290	0.1363057216
291	0.1360580577
292	0.135800322
293	0.1355464062
294	0.1352921258
295	0.135049671
296	0.1348210123
297	0.1345696817
298	0.1343403646
299	0.1341125712
300	0.1338798128
301	0.133648721
302	0.133406654
303	0.1331637907
304	0.1329400668
305	0.1327278166
306	0.1325009366
307	0.1322734307
308	0.1320617863
309	0.1318538465
310	0.1316293161
311	0.131430486
312	0.1312154436
313	0.1310065986
314	0.1308065414
315	0.1305984917
316	0.1303995506
317	0.130205149
318	0.1300093032
319	0.1298026711
320	0.1295991361
321	0.1293945817
322	0.1291918472
323	0.1289922199
324	0.1287971911
325	0.1286061017
326	0.1284229397
327	0.1282325232
328	0.1280596286
329	0.1278827532
330	0.1276844346
331	0.1275005583
332	0.1273213563
333	0.1271490308
334	0.1269678171
335	0.1267831566
336	0.1266108943
337	0.1264442664
338	0.12626238
339	0.1261045024
340	0.1259383705
341	0.1257734158
342	0.1256063639
343	0.1254451299
344	0.1252837223
345	0.1251127476
346	0.1249363773
347	0.1247616595
348	0.1246062342
349	0.1244477438
350	0.1242866617
351	0.1241163212
352	0.1239503043
353	0.1237894199
354	0.1236439525
355	0.1234866977
356	0.1233421376
357	0.1231954707
358	0.1230452528
359	0.122906777
360	0.1227479354
361	0.1225993083
362	0.1224503955
363	0.1223150666
364	0.1221809084
365	0.1220412507
366	0.1219025134
367	0.1217546762
368	0.1216230414
369	0.1214750855
370	0.121348845
371	0.1212180362
372	0.121067701
373	0.1209298345
374	0.1207981867
375	0.1206451373
376	0.1205086911
377	0.1203808022
378	0.1202533553
379	0.1201213537
380	0.1199856657
381	0.1198582355
382	0.1197295092
383	0.1196006666
384	0.1194850346
385	0.1193598801
386	0.1192339269
387	0.1191005719
388	0.1189775262
389	0.1188549671
390	0.118732373
391	0.1186088554
392	0.1184846415
393	0.1183588211
394	0.1182290831
395	0.1180991228
396	0.1179851071
397	0.1178653941
398	0.1177533906
399	0.1176482051
400	0.1175377489
401	0.1174202996
402	0.1173068575
403	0.1171942429
404	0.117077804
405	0.1169757073
406	0.1168608976
407	0.1167466662
408	0.1166502083
409	0.1165338781
410	0.1164189031
411	0.1162978543
412	0.1161896139
413	0.1160771666
414	0.1159596371
415	0.1158563116
416	0.1157618024
417	0.1156597761
418	0.1155676235
419	0.115467575
420	0.1153803916
421	0.1152830834
422	0.1151816116
423	0.1150772686
424	0.1149709198
425	0.1148639367
426	0.1147605358
427	0.1146558944
428	0.1145599944
429	0.1144659483
430	0.1143631109
431	0.114265615
432	0.1141697636
433	0.1140849003
434	0.1139911539
435	0.1139075793
436	0.1138168352
437	0.1137189157
438	0.1136206801
439	0.1135391415
440	0.1134450101
441	0.1133593011
442	0.113284693
443	0.1131959248
444	0.1131082658
445	0.1130204547
446	0.1129429237
447	0.1128502678
448	0.1127668097
449	0.1126766051
450	0.1125882986
451	0.112512744
452	0.1124166806
453	0.1123255037
454	0.1122439718
455	0.1121526949
456	0.1120768095
457	0.1119989543
458	0.1119253582
459	0.1118517482
460	0.1117675794
461	0.1116802149
462	0.1115904105
463	0.1115105834
464	0.1114346056
465	0.1113469491
466	0.1112630884
467	0.1111831514
468	0.1111005029
469	0.1110115922
470	0.1109330362
471	0.1108478762
472	0.1107730299
473	0.1106980523
474	0.1106126458
475	0.1105325846
476	0.1104604819
477	0.1103875639
478	0.110318774
479	0.1102426752
480	0.1101654193
481	0.1100930364
482	0.1100222407
483	0.109939891
484	0.109860799
485	0.1097850816
486	0.1097107554
487	0.1096344728
488	0.1095629238
489	0.1094788094
490	0.1094154136
491	0.1093395886
492	0.1092675105
493	0.109196282
494	0.1091384113
495	0.109071412
496	0.1090084435
497	0.1089454731
498	0.1088683118
499	0.1088044009
500	0.1087391577
501	0.1086695088
502	0.1085980984
503	0.1085359979
504	0.1084682994
505	0.1083964597
506	0.1083264917
507	0.1082539089
508	0.1081792798
509	0.1081233162
510	0.1080697185
511	0.1080076261
512	0.1079494782
513	0.1078965726
514	0.1078386834
515	0.1077706401
516	0.1077054726
517	0.1076521308
518	0.1076019331
519	0.1075337218
520	0.107478987
521	0.1074140182
522	0.1073482443
523	0.1072781226
524	0.1072218565
525	0.107163752
526	0.1070965084
527	0.1070305494
528	0.1069755173
529	0.1069149451
530	0.1068629632
531	0.106802131
532	0.1067372023
533	0.1066731525
534	0.1066220511
535	0.1065736434
536	0.1065183054
537	0.1064684324
538	0.1064124587
539	0.1063503747
540	0.1062941166
541	0.1062399219
542	0.106183907
543	0.1061303862
544	0.1060709158
545	0.1060199465
546	0.1059684318
547	0.1059149045
548	0.1058592968
549	0.1057976086
550	0.1057526656
551	0.1057024046
552	0.105646797
553	0.1055970052
554	0.1055508546
555	0.10550247
556	0.1054431799
557	0.105395367
558	0.1053386581
559	0.1052895514
560	0.1052427597
561	0.1051943941
562	0.1051491886
563	0.1050977771
564	0.1050418157
565	0.1049826501
566	0.1049313851
567	0.1048757311
568	0.1048255354
569	0.1047793807
570	0.104728027
571	0.1046796466
572	0.1046315531
573	0.1045777185
574	0.1045245697
575	0.1044743189
576	0.1044158132
577	0.1043617539
578	0.1043122385
579	0.1042699073
580	0.1042200351
581	0.1041774627
582	0.1041289601
583	0.1040802904
584	0.1040274913
585	0.103978732
586	0.1039289908
587	0.1038850505
588	0.103834458
589	0.1037927388
590	0.1037454088
591	0.1037094664
592	0.1036649984
593	0.1036077243
594	0.1035607378
595	0.103520589
596	0.103471043
597	0.103426863
598	0.1033819935
599	0.1033432933
600	0.1032960034
601	0.1032545479
602	0.1032134657
603	0.1031694831
604	0.1031236879
605	0.103083003
606	0.1030343675
607	0.1029957854
608	0.1029519582
609	0.1029054992
610	0.1028637891
611	0.102820903
612	0.1027773689
613	0.1027412423
614	0.102697761
615	0.1026604315
616	0.1026193744
617	0.1025730555
618	0.1025235173
619	0.1024815828
620	0.1024390719
621	0.1023979757
622	0.1023548703
623	0.1023158452
624	0.1022697324
625	0.1022248836
626	0.1021836082
627	0.1021490444
628	0.1021001459
629	0.1020563062
630	0.1020201324
631	0.1019784982
632	0.1019345175
633	0.1018911277
634	0.1018586011
635	0.1018143987
636	0.1017705595
637	0.1017280321
638	0.1016880312
639	0.1016562325
640	0.1016170705
641	0.1015724443
642	0.1015357914
643	0.1014908237
644	0.1014522356
645	0.1014121421
646	0.101369246
647	0.1013304965
648	0.101294714
649	0.1012552477
650	0.1012138901
651	0.1011756441
652	0.1011320695
653	0.1011000377
654	0.1010611005
655	0.1010218584
656	0.1009834915
657	0.1009385643
658	0.1009023135
659	0.1008651859
660	0.1008264267
661	0.1007882416
662	0.100759404
663	0.1007172488
664	0.1006761414
665	0.1006437223
666	0.1006114534
667	0.1005687266
668	0.100529392
669	0.1004931944
670	0.1004612388
671	0.1004233784
672	0.1003878946
673	0.1003567222
674	0.100321103
675	0.100282351
676	0.1002456521
677	0.1002115306
678	0.100172111
679	0.1001359562
680	0.1000962854
681	0.1000588348
682	0.1000198432
683	0.09998618099
684	0.09995479044
685	0.09991933379
686	0.09989594619
687	0.0998624414
688	0.09982211187
689	0.09978603812
690	0.09974620866
691	0.0997197993
692	0.09968648429
693	0.09965533094
694	0.09962778937
695	0.09959477578
696	0.09956328952
697	0.09953167476
698	0.09949819472
699	0.099465442
700	0.09943578681
701	0.09940460245
702	0.09937073082
703	0.09934212759
704	0.09930850324
705	0.09928215686
706	0.09924643925
707	0.09920928198
708	0.09918112182
709	0.09914561885
710	0.09911521245
711	0.09908111428
712	0.09905533084
713	0.09902539492
714	0.09898929115
715	0.09895244735
716	0.0989244083
717	0.09888964192
718	0.09885341905
719	0.09882242086
720	0.09878928592
721	0.0987613565
722	0.09872875415
723	0.09869706769
724	0.09866727043
725	0.09864053406
726	0.09861046047
727	0.09858251788
728	0.09855336253
729	0.09852924155
730	0.09850095713
731	0.09846664017
732	0.09843202863
733	0.09840306641
734	0.09837125193
735	0.0983349781
736	0.09830899364
737	0.09828419229
738	0.09825561725
739	0.09822820314
740	0.09820462944
741	0.09817647496
742	0.09814245692
743	0.09811476325
744	0.09808918076
745	0.09806673491
746	0.0980410097
747	0.09801259547
748	0.09798079739
749	0.09795140391
750	0.09792421848
751	0.09789739257
752	0.09786710589
753	0.09784738188
754	0.0978121065
755	0.09777674509
756	0.09774652587
757	0.09771963393
758	0.0976885339
759	0.09765874586
760	0.09762945688
761	0.09760152968
762	0.09756950744
763	0.09754143344
764	0.09751800821
765	0.09748857124
766	0.09746201267
767	0.09743027071
768	0.09739969315
769	0.09737351774
770	0.09734807463
771	0.09731960408
772	0.09728799156
773	0.09725767641
774	0.09722850455
775	0.09720398264
776	0.09718088668
777	0.09714925682
778	0.09712396227
779	0.0970986986
780	0.09707736117
781	0.09704724303
782	0.09702436386
783	0.09699837611
784	0.09697471884
785	0.09695168976
786	0.09692038562
787	0.09688920418
788	0.09686011543
789	0.09683673509
790	0.09681209299
791	0.09678383776
792	0.09675865546
793	0.09673317263
794	0.09670874271
795	0.09668561918
796	0.09665836053
797	0.09663559169
798	0.09660503298
799	0.09658545738
800	0.09655888008
801	0.09653890129
802	0.09651452781
803	0.09649202405
804	0.09646822101
805	0.09644399909
806	0.09641615946
807	0.09639352691
808	0.09636719133
809	0.09634290791
810	0.09631742433
811	0.09629332413
812	0.0962712039
813	0.09624626646
814	0.09622234493
815	0.09619675726
816	0.09617362156
817	0.09615679139
818	0.09613395704
819	0.0961064367
820	0.09608405714
821	0.09605750635
822	0.0960368169
823	0.09600901129
824	0.09598271246
825	0.09595676626
826	0.09593437681
827	0.09591202913
828	0.09589101589
829	0.09586712153
830	0.09584121836
831	0.09582009277
832	0.09579478477
833	0.0957750379
834	0.09575097011
835	0.09572805416
836	0.0957030582
837	0.09568142825
838	0.09565916859
839	0.09563735099
840	0.09561560691
841	0.09559057439
842	0.09557259569
843	0.09554817541
844	0.09552736528
845	0.0955099687
846	0.09548862983
847	0.09546596785
848	0.09544567382
849	0.09542064698
850	0.09539900414
851	0.09537922488
852	0.0953628898
853	0.09534062328
854	0.09532148558
855	0.09529988174
856	0.09528025794
857	0.09526259582
858	0.09524226099
859	0.09522386287
860	0.09519863867
861	0.09517488756
862	0.09515182663
863	0.09513364392
864	0.09511145431
865	0.09508931271
866	0.09507081252
867	0.09504864072
868	0.0950280593
869	0.09500249284
