feature,gain,fold
TransactionAmt,1442,1
ProductCD,428,1
card1,3117,1
card2,2214,1
card3,42,1
card4,244,1
card5,355,1
card6,370,1
addr1,2493,1
addr2,27,1
dist1,2128,1
dist2,874,1
P_emaildomain,2699,1
R_emaildomain,1033,1
C1,1829,1
C2,1032,1
C3,60,1
C4,196,1
C5,407,1
C6,1022,1
C7,81,1
C8,403,1
C9,745,1
C10,331,1
C11,1273,1
C12,508,1
C13,2985,1
C14,1341,1
D1,735,1
D2,872,1
D3,272,1
D4,463,1
D5,190,1
D6,149,1
D7,19,1
D8,368,1
D9,629,1
D10,459,1
D11,312,1
D12,69,1
D13,30,1
D14,139,1
D15,622,1
M1,13,1
M2,186,1
M3,552,1
M4,1198,1
M5,1258,1
M6,1130,1
M7,250,1
M8,201,1
M9,355,1
V1,0,1
V2,19,1
V3,38,1
V4,92,1
V5,119,1
V6,27,1
V7,54,1
V8,17,1
V9,22,1
V10,101,1
V11,75,1
V12,238,1
V13,213,1
V14,0,1
V15,7,1
V16,8,1
V17,5,1
V18,16,1
V19,155,1
V20,214,1
V21,9,1
V22,7,1
V23,92,1
V24,115,1
V25,55,1
V26,58,1
V27,0,1
V28,0,1
V29,214,1
V30,152,1
V31,3,1
V32,2,1
V33,31,1
V34,30,1
V35,153,1
V36,174,1
V37,161,1
V38,290,1
V39,38,1
V40,95,1
V41,0,1
V42,24,1
V43,127,1
V44,210,1
V45,618,1
V46,21,1
V47,139,1
V48,150,1
V49,223,1
V50,6,1
V51,40,1
V52,115,1
V53,316,1
V54,418,1
V55,201,1
V56,161,1
V57,47,1
V58,138,1
V59,47,1
V60,89,1
V61,225,1
V62,492,1
V63,38,1
V64,132,1
V65,0,1
V66,139,1
V67,356,1
V68,0,1
V69,142,1
V70,347,1
V71,8,1
V72,53,1
V73,30,1
V74,123,1
V75,284,1
V76,304,1
V77,244,1
V78,341,1
V79,130,1
V80,25,1
V81,98,1
V82,364,1
V83,497,1
V84,8,1
V85,45,1
V86,282,1
V87,530,1
V88,0,1
V89,0,1
V90,201,1
V91,232,1
V92,7,1
V93,43,1
V94,85,1
V95,12,1
V96,89,1
V97,27,1
V98,3,1
V99,98,1
V100,19,1
V101,17,1
V102,77,1
V103,9,1
V104,2,1
V105,50,1
V106,16,1
V107,0,1
V108,45,1
V109,37,1
V110,9,1
V111,6,1
V112,6,1
V113,1,1
V114,10,1
V115,40,1
V116,8,1
V117,0,1
V118,0,1
V119,0,1
V120,0,1
V121,1,1
V122,0,1
V123,27,1
V124,70,1
V125,37,1
V126,90,1
V127,260,1
V128,183,1
