feature,gain,fold
card1_fq_enc,1093,1
card2_fq_enc,1404,1
card3_fq_enc,53,1
card5_fq_enc,134,1
uid_fq_enc,791,1
uid2_fq_enc,852,1
uid3_fq_enc,959,1
uid4_fq_enc,1377,1
uid5_fq_enc,1096,1
card3_DT_D_hour_dist,1850,1
card3_DT_W_week_day_dist,1540,1
card3_DT_M_month_day_dist,1518,1
card3_DT_D_hour_dist_best,1821,1
card3_DT_W_week_day_dist_best,630,1
card3_DT_M_month_day_dist_best,1902,1
card5_DT_D_hour_dist,1581,1
card5_DT_W_week_day_dist,1238,1
card5_DT_M_month_day_dist,1601,1
card5_DT_D_hour_dist_best,1412,1
card5_DT_W_week_day_dist_best,678,1
card5_DT_M_month_day_dist_best,1996,1
bank_type_DT_D_hour_dist,1606,1
bank_type_DT_W_week_day_dist,1433,1
bank_type_DT_M_month_day_dist,1370,1
bank_type_DT_D_hour_dist_best,1063,1
bank_type_DT_W_week_day_dist_best,534,1
bank_type_DT_M_month_day_dist_best,1270,1
bank_type_DT_M,941,1
bank_type_DT_W,1138,1
bank_type_DT_D,1467,1
uid_D1_mean,676,1
uid_D1_std,648,1
uid2_D1_mean,529,1
uid2_D1_std,560,1
uid3_D1_mean,913,1
uid3_D1_std,1089,1
uid4_D1_mean,1063,1
uid4_D1_std,1932,1
uid5_D1_mean,895,1
uid5_D1_std,1303,1
bank_type_D1_mean,125,1
bank_type_D1_std,109,1
uid_D2_mean,1023,1
uid_D2_std,1182,1
uid2_D2_mean,786,1
uid2_D2_std,1082,1
uid3_D2_mean,1603,1
uid3_D2_std,1642,1
uid4_D2_mean,2382,1
uid4_D2_std,2806,1
uid5_D2_mean,1726,1
uid5_D2_std,1888,1
bank_type_D2_mean,174,1
bank_type_D2_std,280,1
uid_D3_mean,1066,1
uid_D3_std,1029,1
uid2_D3_mean,1168,1
uid2_D3_std,924,1
uid3_D3_mean,1903,1
uid3_D3_std,1600,1
uid4_D3_mean,2637,1
uid4_D3_std,2252,1
uid5_D3_mean,1929,1
uid5_D3_std,1915,1
bank_type_D3_mean,442,1
bank_type_D3_std,309,1
uid_D4_mean,688,1
uid_D4_std,782,1
uid2_D4_mean,578,1
uid2_D4_std,640,1
uid3_D4_mean,1177,1
uid3_D4_std,1377,1
uid4_D4_mean,2208,1
uid4_D4_std,2021,1
uid5_D4_mean,1509,1
uid5_D4_std,1473,1
bank_type_D4_mean,120,1
bank_type_D4_std,101,1
uid_D5_mean,1187,1
uid_D5_std,1269,1
uid2_D5_mean,1232,1
uid2_D5_std,1188,1
uid3_D5_mean,1704,1
uid3_D5_std,1935,1
uid4_D5_mean,2700,1
uid4_D5_std,2093,1
uid5_D5_mean,1931,1
uid5_D5_std,1803,1
bank_type_D5_mean,150,1
bank_type_D5_std,257,1
uid_D6_mean,1228,1
uid_D6_std,1115,1
uid2_D6_mean,1257,1
uid2_D6_std,961,1
uid3_D6_mean,1640,1
uid3_D6_std,1397,1
uid4_D6_mean,1045,1
uid4_D6_std,1020,1
uid5_D6_mean,274,1
uid5_D6_std,258,1
bank_type_D6_mean,257,1
bank_type_D6_std,231,1
uid_D7_mean,1368,1
uid_D7_std,1753,1
uid2_D7_mean,1146,1
uid2_D7_std,1264,1
uid3_D7_mean,1613,1
uid3_D7_std,1564,1
uid4_D7_mean,1064,1
uid4_D7_std,1015,1
uid5_D7_mean,395,1
uid5_D7_std,309,1
bank_type_D7_mean,256,1
bank_type_D7_std,173,1
uid_D8_mean,1545,1
uid_D8_std,892,1
uid2_D8_mean,1415,1
uid2_D8_std,715,1
uid3_D8_mean,2382,1
uid3_D8_std,1217,1
uid4_D8_mean,2080,1
uid4_D8_std,1267,1
uid5_D8_mean,2384,1
uid5_D8_std,1389,1
bank_type_D8_mean,215,1
bank_type_D8_std,65,1
uid_D9_mean,1577,1
uid_D9_std,1722,1
uid2_D9_mean,1516,1
uid2_D9_std,1445,1
uid3_D9_mean,2294,1
uid3_D9_std,2269,1
uid4_D9_mean,2599,1
uid4_D9_std,1740,1
uid5_D9_mean,2009,1
uid5_D9_std,1976,1
bank_type_D9_mean,199,1
bank_type_D9_std,227,1
uid_D10_mean,777,1
uid_D10_std,762,1
uid2_D10_mean,590,1
uid2_D10_std,727,1
uid3_D10_mean,976,1
uid3_D10_std,1166,1
uid4_D10_mean,1325,1
uid4_D10_std,1438,1
uid5_D10_mean,1109,1
uid5_D10_std,1205,1
bank_type_D10_mean,138,1
bank_type_D10_std,114,1
uid_D11_mean,1020,1
uid_D11_std,923,1
uid2_D11_mean,817,1
uid2_D11_std,834,1
uid3_D11_mean,1227,1
uid3_D11_std,1165,1
uid4_D11_mean,1990,1
uid4_D11_std,2107,1
uid5_D11_mean,1167,1
uid5_D11_std,1184,1
bank_type_D11_mean,130,1
bank_type_D11_std,173,1
uid_D12_mean,1063,1
uid_D12_std,1059,1
uid2_D12_mean,803,1
uid2_D12_std,880,1
uid3_D12_mean,175,1
uid3_D12_std,215,1
uid4_D12_mean,239,1
uid4_D12_std,250,1
uid5_D12_mean,165,1
uid5_D12_std,110,1
bank_type_D12_mean,400,1
bank_type_D12_std,398,1
uid_D13_mean,1075,1
uid_D13_std,1147,1
uid2_D13_mean,1020,1
uid2_D13_std,1032,1
uid3_D13_mean,1148,1
uid3_D13_std,1199,1
uid4_D13_mean,708,1
uid4_D13_std,690,1
uid5_D13_mean,628,1
uid5_D13_std,650,1
bank_type_D13_mean,284,1
bank_type_D13_std,322,1
uid_D14_mean,1161,1
uid_D14_std,1330,1
uid2_D14_mean,1086,1
uid2_D14_std,1157,1
uid3_D14_mean,1484,1
uid3_D14_std,1556,1
uid4_D14_mean,1023,1
uid4_D14_std,999,1
uid5_D14_mean,922,1
uid5_D14_std,933,1
bank_type_D14_mean,262,1
bank_type_D14_std,256,1
uid_D15_mean,651,1
uid_D15_std,589,1
uid2_D15_mean,592,1
uid2_D15_std,526,1
uid3_D15_mean,1099,1
uid3_D15_std,1054,1
uid4_D15_mean,1602,1
uid4_D15_std,1712,1
uid5_D15_mean,1193,1
uid5_D15_std,1295,1
bank_type_D15_mean,64,1
bank_type_D15_std,63,1
D9_not_na,2,1
D8_not_same_day,5,1
