feature,gain,fold
TransactionAmt,1654,1
ProductCD,447,1
card1,3073,1
card2,1683,1
card3,38,1
card4,208,1
card5,250,1
card6,379,1
addr1,1767,1
addr2,23,1
dist1,2275,1
dist2,905,1
P_emaildomain,2762,1
R_emaildomain,1036,1
C1,1852,1
C2,1146,1
C3,56,1
C4,185,1
C5,427,1
C6,1099,1
C7,76,1
C8,463,1
C9,763,1
C10,322,1
C11,1209,1
C12,540,1
C13,3047,1
C14,1421,1
D1,789,1
D2,969,1
D3,302,1
D4,503,1
D5,275,1
D6,149,1
D7,34,1
D8,415,1
D9,594,1
D10,499,1
D11,343,1
D12,59,1
D13,31,1
D14,172,1
D15,714,1
M1,7,1
M2,213,1
M3,612,1
M4,1118,1
M5,1343,1
M6,1142,1
M7,269,1
M8,202,1
M9,351,1
V1,1,1
V2,24,1
V3,44,1
V4,94,1
V5,156,1
V6,29,1
V7,42,1
V8,28,1
V9,17,1
V10,103,1
V11,67,1
V12,239,1
V13,264,1
V14,0,1
V15,10,1
V16,8,1
V17,10,1
V18,19,1
V19,151,1
V20,238,1
V21,7,1
V22,10,1
V23,103,1
V24,148,1
V25,53,1
V26,55,1
V27,0,1
V28,0,1
V29,207,1
V30,137,1
V31,3,1
V32,4,1
V33,21,1
V34,32,1
V35,174,1
V36,171,1
V37,164,1
V38,295,1
V39,43,1
V40,83,1
V41,0,1
V42,27,1
V43,120,1
V44,228,1
V45,637,1
V46,33,1
V47,160,1
V48,186,1
V49,240,1
V50,7,1
V51,43,1
V52,113,1
V53,318,1
V54,482,1
V55,261,1
V56,149,1
V57,33,1
V58,143,1
V59,47,1
V60,102,1
V61,297,1
V62,498,1
V63,42,1
V64,109,1
V65,1,1
V66,132,1
V67,342,1
V68,0,1
V69,184,1
V70,307,1
V71,8,1
V72,56,1
V73,28,1
V74,149,1
V75,280,1
V76,341,1
V77,259,1
V78,365,1
V79,143,1
V80,34,1
V81,121,1
V82,388,1
V83,530,1
V84,6,1
V85,56,1
V86,263,1
V87,554,1
V88,0,1
V89,0,1
V90,172,1
V91,229,1
V92,11,1
V93,57,1
V94,63,1
V95,15,1
V96,71,1
V97,31,1
V98,5,1
V99,107,1
V100,13,1
V101,8,1
V102,65,1
V103,7,1
V104,1,1
V105,51,1
V106,14,1
V107,0,1
V108,51,1
V109,24,1
V110,9,1
V111,8,1
V112,4,1
V113,1,1
V114,8,1
V115,36,1
V116,6,1
V117,1,1
V118,0,1
V119,0,1
V120,0,1
V121,1,1
V122,0,1
V123,27,1
V124,84,1
V125,43,1
V126,102,1
V127,278,1
V128,164,1
V129,130,1
V130,274,1
V131,167,1
V132,43,1
V133,161,1
V134,63,1
V135,64,1
V136,256,1
V137,84,1
V138,4,1
V139,150,1
V140,34,1
V141,4,1
V142,1,1
V143,129,1
V144,25,1
V145,75,1
V146,37,1
V147,49,1
V148,14,1
V149,219,1
V150,80,1
V151,32,1
V152,187,1
V153,26,1
V154,69,1
V155,31,1
V156,270,1
V157,7,1
V158,25,1
V159,65,1
V160,149,1
V161,51,1
V162,104,1
V163,31,1
V164,107,1
V165,399,1
V166,36,1
V167,23,1
V168,29,1
V169,252,1
V170,77,1
V171,41,1
V172,63,1
V173,16,1
V174,5,1
V175,18,1
V176,18,1
V177,23,1
V178,62,1
V179,14,1
V180,29,1
V181,18,1
V182,25,1
V183,16,1
V184,60,1
V185,21,1
V186,21,1
V187,306,1
V188,68,1
V189,261,1
V190,17,1
V191,17,1
V192,30,1
V193,9,1
V194,7,1
V195,5,1
V196,10,1
V197,36,1
V198,25,1
V199,33,1
V200,50,1
V201,94,1
V202,52,1
V203,159,1
V204,62,1
V205,94,1
V206,80,1
V207,131,1
V208,146,1
V209,117,1
V210,90,1
V211,37,1
V212,115,1
V213,44,1
V214,55,1
V215,104,1
V216,76,1
V217,100,1
V218,75,1
V219,61,1
V220,130,1
V221,144,1
V222,77,1
V223,68,1
V224,63,1
V225,37,1
V226,24,1
V227,19,1
V228,34,1
V229,58,1
V230,35,1
V231,54,1
V232,41,1
V233,31,1
V234,57,1
V235,13,1
V236,19,1
V237,14,1
V238,35,1
V239,54,1
V240,0,1
V241,1,1
V242,44,1
V243,212,1
V244,53,1
V245,134,1
V246,62,1
V247,13,1
V248,52,1
V249,11,1
V250,34,1
V251,120,1
V252,3,1
V253,50,1
V254,27,1
V255,17,1
V256,207,1
V257,123,1
V258,446,1
V259,119,1
V260,48,1
V261,253,1
V262,74,1
V263,79,1
V264,253,1
V265,135,1
V266,272,1
V267,212,1
V268,126,1
V269,3,1
V270,125,1
V271,162,1
V272,79,1
V273,77,1
V274,203,1
V275,72,1
V276,113,1
V277,162,1
V278,124,1
V279,102,1
V280,39,1
V281,351,1
V282,183,1
V283,352,1
V284,7,1
V285,245,1
V286,53,1
V287,29,1
V288,37,1
V289,78,1
V290,51,1
V291,116,1
V292,48,1
V293,92,1
V294,283,1
V295,40,1
V296,189,1
V297,6,1
V298,76,1
V299,9,1
V300,71,1
V301,60,1
V302,6,1
V303,30,1
V304,19,1
V305,0,1
V306,96,1
V307,782,1
V308,397,1
V309,229,1
V310,645,1
V311,317,1
V312,317,1
V313,590,1
V314,407,1
V315,427,1
V316,101,1
V317,314,1
V318,79,1
V319,35,1
V320,329,1
