feature,gain,fold
TransactionAmt,1632,1
ProductCD,486,1
card1,3124,1
card2,2215,1
card3,39,1
card4,217,1
card5,359,1
card6,383,1
addr1,2688,1
addr2,16,1
dist1,2125,1
dist2,921,1
P_emaildomain,2725,1
R_emaildomain,1018,1
C1,1752,1
C2,1061,1
C3,64,1
C4,183,1
C5,396,1
C6,1111,1
C7,73,1
C8,436,1
C9,741,1
C10,291,1
C11,1247,1
C12,553,1
C13,1908,1
C14,1286,1
D1,697,1
D2,916,1
D3,280,1
D4,419,1
D5,223,1
D6,157,1
D7,29,1
D8,365,1
D9,636,1
D10,405,1
D11,310,1
D12,58,1
D13,34,1
D14,133,1
D15,626,1
M1,11,1
M2,191,1
M3,550,1
M4,1091,1
M5,1212,1
M6,1097,1
M7,241,1
M8,197,1
M9,384,1
V1,0,1
V2,16,1
V3,36,1
V4,90,1
V5,143,1
V6,32,1
V7,63,1
V8,21,1
V9,18,1
V10,107,1
V11,72,1
V12,240,1
V13,232,1
V14,0,1
V15,7,1
V16,5,1
V17,12,1
V18,9,1
V19,137,1
V20,202,1
V21,7,1
V22,5,1
V23,116,1
V24,119,1
V25,60,1
V26,53,1
V27,0,1
V28,0,1
V29,217,1
V30,154,1
V31,3,1
V32,5,1
V33,25,1
V34,20,1
V35,158,1
V36,191,1
V37,167,1
V38,259,1
V39,33,1
V40,88,1
V41,0,1
V42,18,1
V43,106,1
V44,221,1
V45,599,1
V46,29,1
V47,151,1
V48,148,1
V49,260,1
V50,7,1
V51,38,1
V52,113,1
V53,301,1
V54,470,1
V55,209,1
V56,136,1
V57,51,1
V58,137,1
V59,39,1
V60,91,1
V61,222,1
V62,491,1
V63,56,1
V64,108,1
V65,0,1
V66,145,1
V67,348,1
V68,0,1
V69,158,1
V70,328,1
V71,12,1
V72,40,1
V73,24,1
V74,137,1
V75,270,1
V76,299,1
V77,249,1
V78,347,1
V79,158,1
V80,20,1
V81,113,1
V82,383,1
V83,487,1
V84,9,1
V85,41,1
V86,253,1
V87,529,1
V88,0,1
V89,0,1
V90,200,1
V91,223,1
V92,11,1
V93,58,1
V94,62,1
V95,9,1
V96,79,1
V97,32,1
V98,3,1
V99,87,1
V100,17,1
V101,15,1
V102,80,1
V103,8,1
V104,3,1
V105,52,1
V106,5,1
V107,0,1
V108,52,1
V109,27,1
V110,20,1
V111,5,1
V112,5,1
V113,0,1
V114,5,1
V115,29,1
V116,10,1
V117,0,1
V118,0,1
V119,0,1
V120,0,1
V121,1,1
V122,0,1
V123,26,1
V124,80,1
V125,36,1
V126,97,1
V127,256,1
V128,156,1
V129,114,1
V130,301,1
V131,164,1
V132,40,1
V133,153,1
V134,53,1
V135,50,1
V136,230,1
V137,72,1
V138,6,1
V139,130,1
V140,38,1
V141,5,1
V142,2,1
V143,124,1
V144,13,1
V145,70,1
V146,35,1
V147,59,1
V148,12,1
V149,212,1
V150,71,1
V151,34,1
V152,179,1
V153,14,1
V154,71,1
V155,28,1
V156,254,1
V157,4,1
V158,21,1
V159,58,1
V160,128,1
V161,36,1
V162,128,1
V163,40,1
V164,87,1
V165,380,1
V166,31,1
V167,37,1
V168,18,1
V169,214,1
V170,89,1
V171,42,1
V172,56,1
V173,16,1
V174,9,1
V175,20,1
V176,24,1
V177,21,1
V178,63,1
V179,20,1
V180,26,1
V181,15,1
V182,41,1
V183,19,1
V184,47,1
V185,16,1
V186,12,1
V187,296,1
V188,55,1
V189,241,1
V190,21,1
V191,14,1
V192,35,1
V193,16,1
V194,11,1
V195,14,1
V196,13,1
V197,60,1
V198,18,1
V199,39,1
V200,47,1
V201,77,1
V202,60,1
V203,105,1
V204,59,1
V205,126,1
V206,95,1
V207,142,1
V208,126,1
V209,138,1
V210,68,1
V211,38,1
V212,103,1
V213,56,1
V214,57,1
V215,108,1
V216,66,1
V217,80,1
V218,89,1
V219,63,1
V220,132,1
V221,117,1
V222,84,1
V223,68,1
V224,57,1
V225,28,1
V226,18,1
V227,20,1
V228,22,1
V229,92,1
V230,24,1
V231,49,1
V232,38,1
V233,34,1
V234,68,1
V235,12,1
V236,22,1
V237,13,1
V238,37,1
V239,44,1
V240,1,1
V241,0,1
V242,31,1
V243,210,1
V244,56,1
V245,145,1
V246,65,1
V247,15,1
V248,66,1
V249,19,1
V250,27,1
V251,135,1
V252,10,1
V253,57,1
V254,27,1
V255,10,1
V256,196,1
V257,138,1
V258,376,1
V259,120,1
V260,48,1
V261,227,1
V262,93,1
V263,84,1
V264,190,1
V265,130,1
V266,276,1
V267,200,1
V268,102,1
V269,1,1
V270,92,1
V271,168,1
V272,85,1
V273,71,1
V274,208,1
V275,80,1
V276,101,1
V277,163,1
V278,91,1
V279,117,1
V280,52,1
V281,331,1
V282,209,1
V283,359,1
V284,8,1
V285,242,1
V286,48,1
V287,33,1
V288,36,1
V289,68,1
V290,33,1
V291,93,1
V292,54,1
V293,82,1
V294,287,1
V295,26,1
V296,173,1
V297,10,1
V298,68,1
V299,11,1
V300,46,1
V301,56,1
V302,8,1
V303,21,1
V304,26,1
V305,0,1
V306,101,1
V307,678,1
V308,306,1
V309,205,1
V310,552,1
V311,276,1
V312,304,1
V313,575,1
V314,382,1
V315,409,1
V316,100,1
V317,307,1
V318,70,1
V319,24,1
V320,336,1
V321,72,1
V322,11,1
V323,85,1
V324,57,1
V325,0,1
V326,24,1
V327,8,1
V328,2,1
V329,18,1
V330,2,1
V331,29,1
V332,56,1
V333,38,1
V334,5,1
V335,30,1
V336,37,1
V337,8,1
V338,36,1
V339,22,1
is_december,26,1
is_holiday,17,1
card1_fq_enc,806,1
card2_fq_enc,1448,1
card3_fq_enc,57,1
card5_fq_enc,156,1
uid_fq_enc,687,1
uid2_fq_enc,673,1
uid3_fq_enc,1106,1
uid4_fq_enc,1614,1
uid5_fq_enc,1169,1
card3_DT_D_hour_dist,2204,1
card3_DT_W_week_day_dist,1654,1
card3_DT_M_month_day_dist,1445,1
card3_DT_D_hour_dist_best,1895,1
card3_DT_W_week_day_dist_best,669,1
card3_DT_M_month_day_dist_best,1742,1
card5_DT_D_hour_dist,1867,1
card5_DT_W_week_day_dist,1567,1
card5_DT_M_month_day_dist,1551,1
card5_DT_D_hour_dist_best,1587,1
card5_DT_W_week_day_dist_best,758,1
card5_DT_M_month_day_dist_best,1971,1
bank_type_DT_D_hour_dist,1724,1
bank_type_DT_W_week_day_dist,1524,1
bank_type_DT_M_month_day_dist,1354,1
bank_type_DT_D_hour_dist_best,1171,1
bank_type_DT_W_week_day_dist_best,564,1
bank_type_DT_M_month_day_dist_best,1312,1
bank_type_DT_M,899,1
bank_type_DT_W,1300,1
bank_type_DT_D,1593,1
uid_D1_mean,644,1
uid_D1_std,665,1
uid2_D1_mean,491,1
uid2_D1_std,562,1
uid3_D1_mean,894,1
uid3_D1_std,1041,1
uid4_D1_mean,1334,1
uid4_D1_std,1943,1
uid5_D1_mean,896,1
uid5_D1_std,1303,1
bank_type_D1_mean,93,1
bank_type_D1_std,98,1
uid_D2_mean,1113,1
uid_D2_std,1267,1
uid2_D2_mean,953,1
uid2_D2_std,1219,1
uid3_D2_mean,1803,1
uid3_D2_std,1669,1
uid4_D2_mean,2650,1
uid4_D2_std,3103,1
uid5_D2_mean,1948,1
uid5_D2_std,1998,1
bank_type_D2_mean,153,1
bank_type_D2_std,301,1
uid_D3_mean,1131,1
uid_D3_std,1144,1
uid2_D3_mean,1193,1
uid2_D3_std,983,1
uid3_D3_mean,1868,1
uid3_D3_std,1798,1
uid4_D3_mean,2908,1
uid4_D3_std,2500,1
uid5_D3_mean,2119,1
uid5_D3_std,2024,1
bank_type_D3_mean,396,1
bank_type_D3_std,332,1
uid_D4_mean,747,1
uid_D4_std,901,1
uid2_D4_mean,572,1
uid2_D4_std,696,1
uid3_D4_mean,1286,1
uid3_D4_std,1398,1
uid4_D4_mean,2281,1
uid4_D4_std,2091,1
uid5_D4_mean,1529,1
uid5_D4_std,1646,1
bank_type_D4_mean,143,1
bank_type_D4_std,108,1
uid_D5_mean,1303,1
uid_D5_std,1400,1
uid2_D5_mean,1281,1
uid2_D5_std,1150,1
uid3_D5_mean,1765,1
uid3_D5_std,2029,1
uid4_D5_mean,3066,1
uid4_D5_std,2567,1
uid5_D5_mean,2132,1
uid5_D5_std,1999,1
bank_type_D5_mean,186,1
bank_type_D5_std,285,1
uid_D6_mean,1429,1
uid_D6_std,1185,1
uid2_D6_mean,1364,1
uid2_D6_std,1161,1
uid3_D6_mean,1725,1
uid3_D6_std,1470,1
uid4_D6_mean,1131,1
uid4_D6_std,1166,1
uid5_D6_mean,340,1
uid5_D6_std,317,1
bank_type_D6_mean,345,1
bank_type_D6_std,252,1
uid_D7_mean,1459,1
uid_D7_std,1808,1
uid2_D7_mean,1297,1
uid2_D7_std,1382,1
uid3_D7_mean,1926,1
uid3_D7_std,1684,1
uid4_D7_mean,1304,1
uid4_D7_std,1158,1
uid5_D7_mean,446,1
uid5_D7_std,370,1
bank_type_D7_mean,303,1
bank_type_D7_std,212,1
uid_D8_mean,1870,1
uid_D8_std,992,1
uid2_D8_mean,1580,1
uid2_D8_std,799,1
uid3_D8_mean,2633,1
uid3_D8_std,1288,1
uid4_D8_mean,2314,1
uid4_D8_std,1420,1
uid5_D8_mean,2370,1
uid5_D8_std,1559,1
bank_type_D8_mean,235,1
bank_type_D8_std,68,1
uid_D9_mean,1805,1
uid_D9_std,1878,1
uid2_D9_mean,1646,1
uid2_D9_std,1590,1
uid3_D9_mean,2487,1
uid3_D9_std,2423,1
uid4_D9_mean,2859,1
uid4_D9_std,1818,1
uid5_D9_mean,2437,1
uid5_D9_std,1994,1
bank_type_D9_mean,228,1
bank_type_D9_std,261,1
uid_D10_mean,776,1
uid_D10_std,934,1
uid2_D10_mean,705,1
uid2_D10_std,828,1
uid3_D10_mean,1035,1
uid3_D10_std,1134,1
uid4_D10_mean,1547,1
uid4_D10_std,1561,1
uid5_D10_mean,1132,1
uid5_D10_std,1225,1
bank_type_D10_mean,164,1
bank_type_D10_std,145,1
uid_D11_mean,953,1
uid_D11_std,1086,1
uid2_D11_mean,837,1
uid2_D11_std,910,1
uid3_D11_mean,1239,1
uid3_D11_std,1292,1
uid4_D11_mean,2242,1
uid4_D11_std,2098,1
uid5_D11_mean,1172,1
uid5_D11_std,1163,1
bank_type_D11_mean,156,1
bank_type_D11_std,178,1
uid_D12_mean,1084,1
uid_D12_std,1119,1
uid2_D12_mean,899,1
uid2_D12_std,960,1
uid3_D12_mean,267,1
uid3_D12_std,239,1
uid4_D12_mean,287,1
uid4_D12_std,248,1
uid5_D12_mean,186,1
uid5_D12_std,145,1
bank_type_D12_mean,434,1
bank_type_D12_std,478,1
uid_D13_mean,1237,1
uid_D13_std,1287,1
uid2_D13_mean,1047,1
uid2_D13_std,1056,1
uid3_D13_mean,1137,1
uid3_D13_std,1276,1
uid4_D13_mean,755,1
uid4_D13_std,801,1
uid5_D13_mean,764,1
uid5_D13_std,663,1
bank_type_D13_mean,322,1
bank_type_D13_std,304,1
uid_D14_mean,1260,1
uid_D14_std,1338,1
uid2_D14_mean,1127,1
uid2_D14_std,1201,1
uid3_D14_mean,1524,1
uid3_D14_std,1687,1
uid4_D14_mean,1074,1
uid4_D14_std,1332,1
uid5_D14_mean,1027,1
uid5_D14_std,979,1
