feature,gain,fold
TransactionAmt,1472,1
ProductCD,445,1
card1,3128,1
card2,2202,1
card3,24,1
card4,222,1
card5,373,1
card6,379,1
addr1,2603,1
addr2,27,1
dist1,2097,1
dist2,783,1
P_emaildomain,2759,1
R_emaildomain,1022,1
C1,1704,1
C2,1042,1
C3,66,1
C4,186,1
C5,423,1
C6,1055,1
C7,62,1
C8,424,1
C9,703,1
C10,289,1
C11,1227,1
C12,497,1
C13,2888,1
C14,1239,1
D1,618,1
D2,590,1
D3,259,1
D4,460,1
D5,199,1
D6,149,1
D7,26,1
D8,344,1
D9,640,1
D10,432,1
D11,284,1
D12,53,1
D13,34,1
D14,141,1
D15,621,1
M1,7,1
M2,190,1
M3,551,1
M4,1123,1
M5,1241,1
M6,1145,1
M7,223,1
M8,199,1
M9,336,1
V1,4,1
V2,13,1
V3,42,1
V4,82,1
V5,129,1
V6,15,1
V7,46,1
V8,20,1
V9,21,1
V10,112,1
V11,83,1
V12,205,1
V13,213,1
V14,0,1
V15,9,1
V16,8,1
V17,8,1
V18,14,1
V19,143,1
V20,219,1
V21,4,1
V22,7,1
V23,87,1
V24,130,1
V25,44,1
V26,41,1
V27,0,1
V28,0,1
V29,184,1
V30,110,1
V31,0,1
V32,5,1
V33,32,1
V34,30,1
V35,146,1
V36,162,1
V37,170,1
V38,272,1
V39,38,1
V40,85,1
V41,1,1
V42,21,1
V43,102,1
V44,221,1
V45,618,1
V46,26,1
V47,174,1
V48,169,1
V49,232,1
V50,5,1
V51,36,1
V52,104,1
V53,308,1
V54,483,1
V55,227,1
V56,152,1
V57,56,1
V58,133,1
V59,48,1
V60,106,1
V61,250,1
V62,425,1
V63,33,1
V64,130,1
V65,0,1
V66,132,1
V67,319,1
V68,0,1
V69,177,1
V70,303,1
V71,15,1
V72,42,1
V73,32,1
V74,140,1
V75,264,1
V76,289,1
V77,218,1
V78,322,1
V79,136,1
V80,36,1
V81,120,1
V82,369,1
V83,497,1
V84,8,1
V85,41,1
V86,229,1
V87,538,1
V88,0,1
V89,0,1
V90,167,1
V91,226,1
V92,13,1
V93,35,1
V94,83,1
V95,9,1
V96,78,1
V97,22,1
V98,6,1
V99,94,1
V100,11,1
V101,10,1
V102,84,1
V103,15,1
V104,5,1
V105,48,1
V106,11,1
V107,0,1
V108,46,1
V109,23,1
V110,5,1
V111,4,1
V112,7,1
V113,2,1
V114,9,1
V115,34,1
V116,16,1
V117,0,1
V118,0,1
V119,0,1
V120,0,1
V121,1,1
V122,0,1
V123,36,1
V124,82,1
V125,30,1
V126,86,1
V127,243,1
V128,159,1
V129,89,1
V130,289,1
V131,156,1
V132,47,1
V133,162,1
V134,55,1
V135,48,1
V136,244,1
V137,79,1
V138,10,1
V139,139,1
V140,41,1
V141,8,1
V142,1,1
V143,119,1
V144,19,1
V145,61,1
V146,31,1
V147,60,1
V148,7,1
V149,220,1
V150,74,1
V151,33,1
V152,182,1
V153,17,1
V154,64,1
V155,25,1
V156,248,1
V157,6,1
V158,20,1
V159,55,1
V160,130,1
V161,38,1
V162,129,1
V163,27,1
V164,76,1
V165,378,1
V166,36,1
V167,28,1
V168,17,1
V169,250,1
V170,58,1
V171,47,1
V172,47,1
V173,18,1
V174,11,1
V175,28,1
V176,31,1
V177,18,1
V178,60,1
V179,13,1
V180,32,1
V181,12,1
V182,30,1
V183,22,1
V184,49,1
V185,9,1
V186,16,1
V187,306,1
V188,51,1
V189,226,1
V190,22,1
V191,16,1
V192,36,1
V193,11,1
V194,11,1
V195,6,1
V196,8,1
V197,50,1
V198,20,1
V199,33,1
V200,56,1
V201,90,1
V202,61,1
V203,141,1
V204,56,1
V205,108,1
V206,67,1
V207,151,1
V208,103,1
V209,147,1
V210,87,1
V211,36,1
V212,90,1
V213,39,1
V214,56,1
V215,118,1
V216,67,1
V217,71,1
V218,72,1
V219,56,1
V220,140,1
V221,106,1
V222,67,1
V223,71,1
V224,61,1
V225,21,1
V226,26,1
V227,19,1
V228,25,1
V229,91,1
V230,37,1
V231,41,1
V232,40,1
V233,37,1
V234,59,1
V235,20,1
V236,17,1
V237,19,1
V238,34,1
V239,38,1
V240,2,1
V241,0,1
V242,43,1
V243,195,1
V244,66,1
V245,129,1
V246,59,1
V247,18,1
V248,48,1
V249,12,1
V250,27,1
V251,124,1
V252,13,1
V253,61,1
V254,33,1
V255,11,1
V256,188,1
V257,118,1
V258,411,1
V259,110,1
V260,45,1
V261,220,1
V262,73,1
V263,98,1
V264,222,1
V265,102,1
V266,242,1
V267,228,1
V268,88,1
V269,1,1
V270,114,1
V271,142,1
V272,85,1
V273,61,1
V274,206,1
V275,80,1
V276,97,1
V277,144,1
V278,99,1
V279,97,1
V280,36,1
V281,299,1
V282,181,1
V283,316,1
V284,14,1
V285,213,1
V286,43,1
V287,39,1
V288,43,1
V289,77,1
V290,56,1
V291,106,1
V292,36,1
V293,97,1
V294,300,1
V295,32,1
V296,160,1
V297,7,1
V298,65,1
V299,9,1
V300,50,1
V301,65,1
V302,4,1
V303,23,1
V304,15,1
V305,0,1
V306,109,1
V307,701,1
V308,315,1
V309,158,1
V310,574,1
V311,282,1
V312,251,1
V313,488,1
V314,344,1
V315,412,1
V316,84,1
V317,272,1
V318,71,1
V319,37,1
V320,300,1
V321,67,1
V322,14,1
V323,77,1
V324,53,1
V325,1,1
V326,17,1
V327,10,1
V328,4,1
V329,18,1
V330,5,1
V331,28,1
V332,57,1
V333,46,1
V334,6,1
V335,39,1
V336,45,1
V337,11,1
V338,34,1
V339,17,1
is_december,48,1
is_holiday,17,1
card1_fq_enc,744,1
card2_fq_enc,1522,1
card3_fq_enc,47,1
card5_fq_enc,135,1
uid_fq_enc,592,1
uid2_fq_enc,653,1
uid3_fq_enc,987,1
uid4_fq_enc,1443,1
uid5_fq_enc,1128,1
card3_DT_D_hour_dist,2042,1
card3_DT_W_week_day_dist,1596,1
card3_DT_M_month_day_dist,1396,1
card3_DT_D_hour_dist_best,1708,1
card3_DT_W_week_day_dist_best,595,1
card3_DT_M_month_day_dist_best,1518,1
card5_DT_D_hour_dist,1811,1
card5_DT_W_week_day_dist,1482,1
card5_DT_M_month_day_dist,1540,1
card5_DT_D_hour_dist_best,1495,1
card5_DT_W_week_day_dist_best,735,1
card5_DT_M_month_day_dist_best,1862,1
bank_type_DT_D_hour_dist,1642,1
bank_type_DT_W_week_day_dist,1414,1
bank_type_DT_M_month_day_dist,1257,1
bank_type_DT_D_hour_dist_best,1123,1
bank_type_DT_W_week_day_dist_best,522,1
bank_type_DT_M_month_day_dist_best,1384,1
bank_type_DT_M,838,1
bank_type_DT_W,1286,1
bank_type_DT_D,1533,1
uid_D1_mean,626,1
uid_D1_std,670,1
uid2_D1_mean,487,1
uid2_D1_std,614,1
uid3_D1_mean,849,1
uid3_D1_std,1018,1
uid4_D1_mean,1301,1
uid4_D1_std,1775,1
uid5_D1_mean,881,1
uid5_D1_std,1177,1
bank_type_D1_mean,100,1
bank_type_D1_std,92,1
uid_D2_mean,1127,1
uid_D2_std,1231,1
uid2_D2_mean,879,1
uid2_D2_std,1197,1
uid3_D2_mean,1712,1
uid3_D2_std,1605,1
uid4_D2_mean,2520,1
uid4_D2_std,3047,1
uid5_D2_mean,1921,1
uid5_D2_std,1909,1
bank_type_D2_mean,129,1
bank_type_D2_std,261,1
uid_D3_mean,1131,1
uid_D3_std,1176,1
uid2_D3_mean,1161,1
uid2_D3_std,975,1
uid3_D3_mean,1913,1
uid3_D3_std,1634,1
uid4_D3_mean,2777,1
uid4_D3_std,2423,1
uid5_D3_mean,2042,1
uid5_D3_std,1992,1
bank_type_D3_mean,395,1
bank_type_D3_std,346,1
uid_D4_mean,639,1
uid_D4_std,882,1
uid2_D4_mean,585,1
uid2_D4_std,699,1
uid3_D4_mean,1212,1
uid3_D4_std,1354,1
uid4_D4_mean,2194,1
uid4_D4_std,1951,1
uid5_D4_mean,1495,1
uid5_D4_std,1561,1
bank_type_D4_mean,140,1
bank_type_D4_std,107,1
uid_D5_mean,1184,1
uid_D5_std,1375,1
uid2_D5_mean,1288,1
uid2_D5_std,1183,1
uid3_D5_mean,1760,1
uid3_D5_std,1860,1
