feature,gain,fold
TransactionAmt,1761,1
ProductCD,498,1
card1,3425,1
card2,2542,1
card3,36,1
card4,201,1
card5,406,1
card6,408,1
addr1,2448,1
addr2,16,1
dist1,1248,1
dist2,1054,1
P_emaildomain,2972,1
R_emaildomain,1096,1
C1,1885,1
C2,1088,1
C3,64,1
C4,189,1
C5,426,1
C6,1080,1
C7,102,1
C8,451,1
C9,855,1
C10,356,1
C11,1241,1
C12,605,1
C13,2004,1
C14,1061,1
D1,693,1
D2,661,1
D3,306,1
D4,478,1
D5,270,1
D6,164,1
D7,30,1
D8,378,1
D9,699,1
D10,476,1
D11,336,1
D12,65,1
D13,39,1
D14,159,1
D15,744,1
M1,7,1
M2,192,1
M3,575,1
M4,714,1
M5,1246,1
M6,1128,1
M7,199,1
M8,186,1
M9,315,1
V1,1,1
V2,18,1
V3,43,1
V4,90,1
V5,145,1
V6,17,1
V7,58,1
V8,33,1
V9,23,1
V10,107,1
V11,66,1
V12,208,1
V13,236,1
V14,0,1
V15,8,1
V16,2,1
V17,11,1
V18,18,1
V19,153,1
V20,233,1
V21,9,1
V22,3,1
V23,91,1
V24,133,1
V25,62,1
V26,45,1
V27,0,1
V28,0,1
V29,220,1
V30,139,1
V31,7,1
V32,1,1
V33,36,1
V34,27,1
V35,188,1
V36,194,1
V37,191,1
V38,291,1
V39,43,1
V40,98,1
V41,0,1
V42,26,1
V43,113,1
V44,255,1
V45,657,1
V46,34,1
V47,154,1
V48,195,1
V49,259,1
V50,11,1
V51,46,1
V52,117,1
V53,315,1
V54,469,1
V55,235,1
V56,144,1
V57,49,1
V58,145,1
V59,48,1
V60,112,1
V61,256,1
V62,494,1
V63,48,1
V64,148,1
V65,0,1
V66,139,1
V67,395,1
V68,0,1
V69,180,1
V70,317,1
V71,9,1
V72,53,1
V73,48,1
V74,138,1
V75,303,1
V76,334,1
V77,263,1
V78,345,1
V79,146,1
V80,38,1
V81,127,1
V82,355,1
V83,530,1
V84,3,1
V85,55,1
V86,297,1
V87,574,1
V88,0,1
V89,0,1
V90,201,1
V91,225,1
V92,12,1
V93,59,1
V94,49,1
V95,12,1
V96,104,1
V97,22,1
V98,4,1
V99,101,1
V100,15,1
V101,14,1
V102,78,1
V103,11,1
V104,8,1
V105,53,1
V106,18,1
V107,0,1
V108,70,1
V109,45,1
V110,13,1
V111,6,1
V112,3,1
V113,0,1
V114,5,1
V115,40,1
V116,6,1
V117,0,1
V118,2,1
V119,0,1
V120,0,1
V121,0,1
V122,0,1
V123,37,1
V124,107,1
V125,28,1
V126,114,1
V127,253,1
V128,187,1
V129,131,1
V130,308,1
V131,167,1
V132,62,1
V133,160,1
V134,55,1
V135,66,1
V136,226,1
V137,79,1
V138,6,1
V139,150,1
V140,48,1
V141,5,1
V142,0,1
V143,124,1
V144,22,1
V145,66,1
V146,29,1
V147,69,1
V148,10,1
V149,226,1
V150,89,1
V151,29,1
V152,167,1
V153,18,1
V154,87,1
V155,28,1
V156,254,1
V157,4,1
V158,12,1
V159,60,1
V160,133,1
V161,51,1
V162,135,1
V163,35,1
V164,80,1
V165,464,1
V166,43,1
V167,19,1
V168,11,1
V169,253,1
V170,72,1
V171,49,1
V172,67,1
V173,22,1
V174,10,1
V175,19,1
V176,39,1
V177,21,1
V178,64,1
V179,21,1
V180,19,1
V181,15,1
V182,31,1
V183,24,1
V184,82,1
V185,19,1
V186,21,1
V187,315,1
V188,60,1
V189,248,1
V190,20,1
V191,9,1
V192,25,1
V193,12,1
V194,11,1
V195,8,1
V196,10,1
V197,73,1
V198,21,1
V199,37,1
V200,69,1
V201,82,1
V202,45,1
V203,133,1
V204,66,1
V205,138,1
V206,96,1
V207,161,1
V208,114,1
V209,165,1
V210,81,1
V211,33,1
V212,96,1
V213,61,1
V214,70,1
V215,130,1
V216,83,1
V217,88,1
V218,71,1
V219,66,1
V220,162,1
V221,117,1
V222,80,1
V223,65,1
V224,62,1
V225,30,1
V226,34,1
V227,16,1
V228,26,1
V229,75,1
V230,40,1
V231,54,1
V232,43,1
V233,51,1
V234,84,1
V235,30,1
V236,17,1
V237,16,1
V238,31,1
V239,61,1
V240,0,1
V241,0,1
V242,61,1
V243,154,1
V244,64,1
V245,180,1
V246,64,1
V247,24,1
V248,59,1
V249,16,1
V250,25,1
V251,115,1
V252,2,1
V253,57,1
V254,38,1
V255,6,1
V256,191,1
V257,88,1
V258,281,1
V259,111,1
V260,51,1
V261,255,1
V262,86,1
V263,116,1
