feature,gain,fold
V335,148,1
V336,81,1
V337,25,1
V338,70,1
V339,40,1
id_01,2167,1
id_02,6924,1
id_03,510,1
id_04,148,1
id_05,3092,1
id_06,3200,1
id_07,200,1
id_08,168,1
id_09,513,1
id_10,134,1
id_11,363,1
id_12,38,1
id_13,2664,1
id_14,1195,1
id_15,445,1
id_16,213,1
id_17,596,1
id_18,1291,1
id_19,5469,1
id_20,6505,1
id_21,106,1
id_22,3,1
id_23,11,1
id_24,46,1
id_25,110,1
id_26,73,1
id_27,0,1
id_28,76,1
id_29,29,1
id_30,3007,1
id_31,5862,1
id_32,211,1
id_33,1179,1
id_34,215,1
id_35,4,1
id_36,90,1
id_37,285,1
id_38,853,1
DeviceType,517,1
DeviceInfo,5368,1
id_33_0,1055,1
id_33_1,1338,1
f000__card1__fq_enc,28073,1
f000__card2__fq_enc,18335,1
f000__card3__fq_enc,1252,1
f000__card5__fq_enc,5849,1
f000__C1__fq_enc,2784,1
f000__C2__fq_enc,2178,1
f000__C3__fq_enc,148,1
f000__C4__fq_enc,224,1
f000__C5__fq_enc,1062,1
f000__C6__fq_enc,2462,1
f000__C7__fq_enc,86,1
f000__C8__fq_enc,460,1
f000__C9__fq_enc,1797,1
f000__C10__fq_enc,360,1
f000__C11__fq_enc,2011,1
f000__C12__fq_enc,432,1
f000__C13__fq_enc,4443,1
f000__C14__fq_enc,2851,1
f000__D1__fq_enc,3302,1
f000__D2__fq_enc,4382,1
f000__D3__fq_enc,2684,1
f000__D4__fq_enc,4831,1
f000__D5__fq_enc,2334,1
f000__D6__fq_enc,1017,1
f000__D7__fq_enc,334,1
f000__D8__fq_enc,3116,1
f000__D9__fq_enc,2312,1
f000__addr1__fq_enc,17223,1
f000__addr2__fq_enc,95,1
f000__dist1__fq_enc,5771,1
f000__dist2__fq_enc,2495,1
f000__P_emaildomain__fq_enc,8280,1
f000__R_emaildomain__fq_enc,2813,1
f000__ProductCD__target_mean,668,1
f000__M4__target_mean,1542,1
TransactionAmt,19403,2
ProductCD,886,2
card1,24731,2
card2,16754,2
card3,970,2
card4,2029,2
card5,6107,2
card6,2342,2
addr1,15663,2
addr2,104,2
dist1,7358,2
dist2,2384,2
P_emaildomain,5469,2
R_emaildomain,1601,2
C1,3834,2
C2,3282,2
C3,113,2
C4,332,2
C5,1410,2
C6,2684,2
C7,182,2
C8,698,2
C9,2087,2
C10,727,2
C11,2506,2
C12,889,2
C13,6746,2
C14,3086,2
D1,4740,2
D2,5723,2
D3,2717,2
D4,6522,2
D5,2683,2
D6,977,2
D7,420,2
D8,4647,2
D9,1931,2
D10,6863,2
D11,5419,2
D12,1069,2
D13,1179,2
D14,2098,2
D15,10556,2
M1,86,2
M2,836,2
M3,1266,2
M4,3276,2
M5,3133,2
M6,3153,2
M7,1205,2
M8,1186,2
M9,1271,2
V1,14,2
V2,185,2
V3,230,2
V4,568,2
V5,700,2
V6,213,2
V7,288,2
V8,78,2
V9,108,2
V10,356,2
V11,265,2
V12,801,2
V13,891,2
V14,3,2
V15,92,2
V16,61,2
V17,57,2
V18,45,2
V19,667,2
V20,880,2
V21,31,2
V22,31,2
V23,394,2
V24,469,2
V25,286,2
V26,226,2
V27,1,2
V28,0,2
V29,375,2
V30,350,2
V31,22,2
V32,23,2
V33,169,2
V34,232,2
V35,943,2
V36,909,2
V37,505,2
V38,856,2
V39,140,2
V40,216,2
V41,0,2
V42,83,2
V43,227,2
V44,716,2
V45,1128,2
V46,138,2
V47,370,2
V48,586,2
V49,507,2
V50,42,2
V51,229,2
V52,245,2
V53,1106,2
V54,1065,2
V55,442,2
V56,538,2
V57,94,2
V58,272,2
V59,107,2
V60,169,2
V61,905,2
V62,1231,2
V63,102,2
V64,259,2
V65,0,2
V66,375,2
V67,631,2
V68,0,2
V69,382,2
V70,500,2
V71,26,2
V72,97,2
V73,138,2
V74,293,2
V75,1118,2
V76,1078,2
V77,760,2
V78,1088,2
V79,217,2
V80,92,2
V81,349,2
V82,1312,2
V83,1327,2
V84,40,2
V85,170,2
V86,625,2
V87,1168,2
V88,0,2
V89,0,2
V90,410,2
V91,451,2
V92,49,2
V93,101,2
V94,277,2
V95,62,2
V96,361,2
V97,100,2
V98,52,2
V99,391,2
V100,75,2
V101,38,2
V102,169,2
V103,54,2
V104,21,2
V105,126,2
V106,20,2
V107,0,2
V108,42,2
V109,84,2
V110,18,2
V111,18,2
V112,7,2
V113,1,2
V114,7,2
V115,137,2
V116,41,2
V117,0,2
V118,0,2
V119,1,2
V120,0,2
V121,8,2
V122,1,2
V123,62,2
V124,338,2
V125,114,2
V126,529,2
V127,1345,2
V128,695,2
V129,588,2
V130,1454,2
V131,896,2
V132,192,2
V133,482,2
V134,210,2
V135,195,2
V136,767,2
V137,265,2
V138,9,2
V139,341,2
V140,189,2
V141,13,2
V142,15,2
V143,213,2
V144,76,2
V145,158,2
V146,64,2
V147,58,2
V148,39,2
V149,300,2
V150,158,2
V151,137,2
V152,261,2
V153,30,2
V154,31,2
V155,30,2
V156,256,2
V157,19,2
V158,64,2
V159,149,2
V160,414,2
V161,73,2
V162,249,2
V163,63,2
V164,245,2
V165,722,2
V166,192,2
V167,59,2
V168,63,2
V169,228,2
V170,175,2
V171,112,2
V172,47,2
V173,23,2
V174,23,2
V175,32,2
V176,56,2
V177,54,2
V178,105,2
V179,41,2
V180,82,2
V181,44,2
V182,59,2
V183,43,2
V184,78,2
V185,40,2
V186,36,2
V187,367,2
V188,80,2
V189,260,2
V190,54,2
V191,10,2
V192,25,2
V193,14,2
V194,5,2
V195,5,2
V196,21,2
V197,20,2
V198,39,2
V199,79,2
V200,153,2
V201,130,2
V202,211,2
V203,426,2
V204,240,2
V205,175,2
V206,178,2
V207,264,2
V208,266,2
V209,259,2
V210,181,2
V211,131,2
V212,242,2
V213,128,2
V214,122,2
V215,250,2
V216,163,2
V217,166,2
V218,202,2
V219,120,2
V220,170,2
V221,451,2
V222,302,2
V223,117,2
V224,226,2
V225,83,2
V226,44,2
V227,40,2
V228,88,2
V229,235,2
V230,113,2
V231,58,2
V232,99,2
V233,78,2
V234,239,2
V235,51,2
V236,45,2
V237,45,2
V238,80,2
V239,87,2
V240,4,2
V241,0,2
V242,68,2
V243,216,2
V244,103,2
V245,208,2
V246,58,2
V247,22,2
V248,98,2
V249,27,2
V250,63,2
V251,175,2
V252,16,2
V253,81,2
V254,25,2
V255,32,2
V256,208,2
V257,189,2
V258,458,2
V259,234,2
V260,172,2
V261,467,2
V262,213,2
V263,312,2
V264,723,2
V265,412,2
V266,461,2
V267,463,2
V268,253,2
V269,17,2
V270,306,2
V271,348,2
V272,242,2
V273,182,2
V274,465,2
V275,213,2
V276,262,2
V277,409,2
V278,187,2
V279,170,2
V280,231,2
V281,770,2
V282,564,2
V283,746,2
V284,68,2
V285,722,2
V286,129,2
V287,112,2
V288,178,2
V289,263,2
V290,121,2
V291,603,2
V292,208,2
V293,193,2
V294,511,2
V295,136,2
V296,426,2
V297,35,2
V298,170,2
V299,44,2
V300,183,2
V301,172,2
V302,13,2
V303,87,2
V304,54,2
V305,0,2
V306,685,2
V307,2500,2
V308,1253,2
V309,656,2
V310,2391,2
V311,664,2
V312,1244,2
V313,2638,2
V314,1647,2
V315,1700,2
V316,298,2
V317,1027,2
V318,389,2
V319,251,2
V320,1049,2
V321,315,2
V322,42,2
V323,235,2
V324,96,2
V325,0,2
V326,60,2
V327,15,2
V328,18,2
V329,35,2
V330,14,2
V331,88,2
V332,241,2
V333,125,2
V334,8,2
V335,109,2
V336,84,2
V337,18,2
V338,77,2
V339,30,2
id_01,1977,2
id_02,6952,2
id_03,511,2
id_04,82,2
id_05,2859,2
id_06,3080,2
id_07,229,2
id_08,135,2
id_09,490,2
id_10,119,2
id_11,468,2
id_12,48,2
id_13,2504,2
id_14,1135,2
id_15,426,2
id_16,189,2
id_17,611,2
id_18,1162,2
id_19,5000,2
id_20,5930,2
id_21,54,2
id_22,10,2
id_23,10,2
id_24,40,2
id_25,37,2
id_26,40,2
id_27,0,2
id_28,62,2
id_29,25,2
id_30,2947,2
id_31,5697,2
id_32,244,2
id_33,1242,2
id_34,178,2
id_35,5,2
id_36,105,2
id_37,279,2
id_38,842,2
DeviceType,507,2
DeviceInfo,5046,2
id_33_0,1005,2
id_33_1,1226,2
f000__card1__fq_enc,25603,2
f000__card2__fq_enc,17117,2
f000__card3__fq_enc,1297,2
f000__card5__fq_enc,5314,2
f000__C1__fq_enc,2738,2
f000__C2__fq_enc,2049,2
f000__C3__fq_enc,132,2
f000__C4__fq_enc,172,2
f000__C5__fq_enc,1008,2
f000__C6__fq_enc,2150,2
f000__C7__fq_enc,114,2
f000__C8__fq_enc,403,2
f000__C9__fq_enc,1672,2
f000__C10__fq_enc,317,2
f000__C11__fq_enc,1988,2
f000__C12__fq_enc,367,2
f000__C13__fq_enc,4061,2
f000__C14__fq_enc,2798,2
f000__D1__fq_enc,3056,2
f000__D2__fq_enc,4082,2
f000__D3__fq_enc,2528,2
f000__D4__fq_enc,4507,2
f000__D5__fq_enc,2346,2
f000__D6__fq_enc,952,2
f000__D7__fq_enc,292,2
f000__D8__fq_enc,3077,2
f000__D9__fq_enc,2292,2
f000__addr1__fq_enc,16438,2
f000__addr2__fq_enc,108,2
f000__dist1__fq_enc,5210,2
f000__dist2__fq_enc,2304,2
f000__P_emaildomain__fq_enc,8027,2
f000__R_emaildomain__fq_enc,2663,2
f000__ProductCD__target_mean,639,2
f000__M4__target_mean,1414,2
TransactionAmt,21033,3
ProductCD,882,3
card1,26744,3
card2,18305,3
card3,890,3
card4,2210,3
card5,6529,3
card6,2477,3
addr1,17419,3
addr2,96,3
dist1,7886,3
dist2,2673,3
P_emaildomain,5920,3
R_emaildomain,1508,3
C1,4026,3
C2,3459,3
C3,139,3
C4,370,3
C5,1553,3
C6,2868,3
C7,173,3
C8,770,3
C9,2264,3
C10,732,3
C11,2646,3
C12,918,3
C13,7074,3
C14,3068,3
D1,5112,3
D2,6171,3
D3,3097,3
D4,6794,3
D5,2887,3
D6,1088,3
D7,439,3
D8,4629,3
D9,2092,3
D10,7819,3
D11,5897,3
D12,1116,3
D13,1245,3
D14,1989,3
D15,11268,3
M1,94,3
M2,843,3
M3,1474,3
M4,3456,3
M5,3363,3
M6,3453,3
M7,1320,3
M8,1372,3
M9,1375,3
V1,10,3
V2,176,3
V3,331,3
V4,543,3
V5,627,3
V6,265,3
V7,368,3
V8,124,3
V9,122,3
V10,438,3
V11,364,3
V12,901,3
V13,955,3
V14,4,3
V15,71,3
V16,45,3
V17,53,3
V18,52,3
V19,754,3
V20,902,3
V21,21,3
V22,27,3
V23,335,3
V24,475,3
V25,265,3
V26,262,3
V27,0,3
V28,0,3
V29,518,3
V30,362,3
V31,29,3
V32,24,3
V33,156,3
V34,263,3
V35,987,3
V36,967,3
V37,488,3
V38,928,3
V39,162,3
V40,182,3
V41,0,3
V42,87,3
V43,203,3
V44,837,3
V45,1155,3
V46,150,3
V47,381,3
V48,616,3
V49,551,3
V50,71,3
V51,256,3
V52,286,3
V53,1088,3
V54,1237,3
V55,504,3
V56,678,3
V57,104,3
V58,250,3
V59,119,3
V60,220,3
V61,935,3
V62,1251,3
V63,110,3
V64,200,3
V65,1,3
V66,417,3
V67,624,3
V68,1,3
V69,443,3
V70,521,3
V71,53,3
V72,82,3
V73,134,3
V74,269,3
V75,1184,3
V76,1208,3
V77,751,3
V78,1090,3
V79,238,3
V80,114,3
V81,323,3
V82,1290,3
V83,1450,3
V84,42,3
V85,191,3
V86,749,3
V87,1324,3
V88,1,3
V89,0,3
V90,576,3
V91,506,3
V92,43,3
V93,113,3
V94,288,3
V95,77,3
V96,444,3
V97,113,3
V98,47,3
V99,388,3
V100,76,3
V101,56,3
V102,202,3
V103,44,3
V104,25,3
V105,101,3
V106,27,3
V107,0,3
V108,28,3
V109,54,3
V110,16,3
V111,19,3
V112,28,3
V113,2,3
V114,9,3
V115,129,3
V116,40,3
V117,0,3
V118,1,3
V119,2,3
V120,0,3
V121,13,3
V122,3,3
V123,112,3
V124,377,3
V125,110,3
V126,604,3
V127,1509,3
V128,806,3
V129,626,3
V130,1660,3
V131,950,3
V132,219,3
V133,611,3
V134,203,3
V135,311,3
V136,719,3
V137,258,3
V138,3,3
V139,373,3
V140,199,3
V141,14,3
V142,8,3
V143,273,3
V144,59,3
V145,235,3
V146,54,3
V147,83,3
V148,40,3
V149,325,3
V150,218,3
V151,110,3
V152,316,3
V153,20,3
V154,47,3
V155,17,3
V156,258,3
V157,27,3
V158,81,3
V159,78,3
V160,350,3
V161,52,3
V162,185,3
V163,48,3
V164,295,3
V165,781,3
V166,210,3
V167,61,3
V168,74,3
V169,273,3
V170,146,3
V171,119,3
V172,59,3
V173,34,3
V174,17,3
V175,44,3
V176,60,3
V177,44,3
V178,116,3
V179,40,3
V180,87,3
V181,33,3
V182,82,3
V183,32,3
V184,53,3
V185,29,3
V186,34,3
V187,394,3
V188,70,3
V189,225,3
V190,35,3
V191,10,3
V192,44,3
V193,26,3
V194,6,3
V195,8,3
V196,6,3
V197,11,3
V198,45,3
V199,75,3
V200,151,3
V201,107,3
V202,265,3
V203,466,3
V204,266,3
V205,197,3
V206,175,3
V207,301,3
V208,358,3
V209,370,3
V210,196,3
V211,157,3
V212,211,3
V213,160,3
V214,129,3
V215,261,3
V216,149,3
V217,130,3
V218,233,3
V219,118,3
V220,212,3
V221,361,3
V222,299,3
V223,112,3
V224,229,3
V225,90,3
V226,53,3
V227,36,3
V228,96,3
V229,256,3
V230,124,3
V231,66,3
V232,117,3
V233,67,3
V234,238,3
V235,69,3
V236,48,3
V237,38,3
V238,91,3
V239,118,3
V240,0,3
V241,0,3
V242,60,3
V243,229,3
V244,90,3
V245,229,3
V246,84,3
V247,30,3
V248,93,3
V249,18,3
V250,56,3
V251,201,3
V252,6,3
V253,134,3
V254,32,3
V255,29,3
V256,205,3
V257,229,3
V258,521,3
V259,180,3
V260,191,3
V261,564,3
V262,231,3
V263,365,3
V264,728,3
V265,450,3
V266,510,3
V267,564,3
V268,313,3
V269,9,3
V270,253,3
V271,351,3
V272,195,3
V273,192,3
V274,506,3
V275,246,3
V276,247,3
V277,369,3
V278,235,3
V279,181,3
V280,247,3
V281,748,3
V282,689,3
V283,836,3
V284,52,3
V285,788,3
V286,154,3
V287,147,3
V288,182,3
V289,291,3
V290,119,3
V291,641,3
V292,205,3
V293,178,3
V294,531,3
V295,110,3
V296,485,3
V297,34,3
V298,159,3
V299,50,3
V300,198,3
V301,179,3
V302,14,3
V303,101,3
V304,65,3
V305,0,3
V306,704,3
V307,2829,3
V308,1376,3
V309,669,3
V310,2367,3
V311,815,3
V312,1370,3
V313,2841,3
V314,1702,3
V315,1812,3
V316,381,3
V317,1112,3
V318,411,3
V319,233,3
V320,1074,3
V321,307,3
V322,47,3
V323,191,3
V324,84,3
V325,2,3
V326,51,3
V327,12,3
V328,14,3
V329,45,3
V330,20,3
V331,93,3
V332,263,3
V333,132,3
V334,21,3
V335,149,3
V336,90,3
V337,36,3
V338,64,3
V339,45,3
id_01,2026,3
id_02,7361,3
id_03,545,3
id_04,154,3
id_05,2736,3
id_06,3295,3
id_07,150,3
id_08,129,3
id_09,430,3
id_10,105,3
id_11,338,3
id_12,47,3
id_13,2964,3
id_14,1208,3
id_15,453,3
id_16,208,3
id_17,603,3
id_18,1271,3
id_19,5656,3
id_20,6585,3
id_21,107,3
id_22,6,3
id_23,5,3
id_24,69,3
id_25,135,3
id_26,42,3
id_27,0,3
id_28,71,3
id_29,19,3
id_30,3067,3
id_31,5861,3
id_32,222,3
id_33,1370,3
id_34,238,3
id_35,13,3
id_36,110,3
id_37,288,3
id_38,845,3
DeviceType,511,3
DeviceInfo,5438,3
id_33_0,1038,3
id_33_1,1297,3
f000__card1__fq_enc,27816,3
f000__card2__fq_enc,18605,3
f000__card3__fq_enc,1205,3
f000__card5__fq_enc,5805,3
