feature,gain,fold
TransactionDT,80930,1
TransactionAmt,73541,1
ProductCD,580,1
card1,31016,1
card2,20985,1
card3,1040,1
card4,301,1
card5,6691,1
card6,472,1
addr1,24057,1
addr2,15,1
dist1,26065,1
dist2,8999,1
P_emaildomain,7950,1
R_emaildomain,2476,1
C1,18295,1
C2,15666,1
C3,325,1
C4,2893,1
C5,4540,1
C6,12124,1
C7,1916,1
C8,4823,1
C9,8335,1
C10,4497,1
C11,11781,1
C12,4889,1
C13,27836,1
C14,14075,1
D1,21716,1
D2,23876,1
D3,15593,1
D4,28386,1
D5,15431,1
D6,6139,1
D7,2759,1
D8,15763,1
D9,8878,1
D10,23898,1
D11,20759,1
D12,5782,1
D13,3104,1
D14,6508,1
D15,34525,1
M1,1041,1
M2,4494,1
M3,5717,1
M4,9095,1
M5,10196,1
M6,9430,1
M7,5185,1
M8,6728,1
M9,6023,1
V1,102,1
V2,1192,1
V3,2029,1
V4,3183,1
V5,3992,1
V6,1185,1
V7,1776,1
V8,824,1
V9,908,1
V10,2525,1
V11,2629,1
V12,3959,1
V13,3817,1
V14,29,1
V15,443,1
V16,429,1
V17,335,1
V18,324,1
V19,2698,1
V20,3496,1
V21,205,1
V22,227,1
V23,1237,1
V24,1763,1
V25,1057,1
V26,997,1
V27,10,1
V28,9,1
V29,1923,1
V30,1858,1
V31,308,1
V32,304,1
V33,746,1
V34,888,1
V35,5027,1
V36,4822,1
V37,3160,1
V38,4485,1
V39,1478,1
V40,1791,1
V41,66,1
V42,1048,1
V43,1410,1
V44,4095,1
V45,4987,1
V46,932,1
V47,1709,1
V48,2788,1
V49,2748,1
V50,595,1
V51,1563,1
V52,2029,1
V53,4010,1
V54,4168,1
V55,1934,1
V56,2599,1
V57,696,1
V58,921,1
V59,698,1
V60,905,1
V61,3335,1
V62,4070,1
V63,663,1
V64,960,1
V65,29,1
V66,1694,1
V67,2228,1
V68,9,1
V69,1915,1
V70,1996,1
V71,460,1
V72,708,1
V73,971,1
V74,1524,1
V75,4721,1
V76,5120,1
V77,2835,1
V78,3921,1
V79,1038,1
V80,817,1
V81,1254,1
V82,3951,1
V83,4838,1
V84,467,1
V85,955,1
V86,3017,1
V87,4852,1
V88,18,1
V89,10,1
V90,2385,1
V91,2460,1
V92,566,1
V93,737,1
V94,970,1
V95,656,1
V96,3061,1
V97,1158,1
V98,285,1
V99,2377,1
V100,666,1
V101,284,1
V102,1076,1
V103,404,1
V104,128,1
V105,583,1
V106,197,1
V107,0,1
V108,89,1
V109,210,1
V110,44,1
V111,75,1
V112,86,1
V113,20,1
V114,43,1
V115,335,1
V116,93,1
V117,2,1
V118,34,1
V119,0,1
V120,3,1
V121,37,1
V122,13,1
V123,314,1
V124,999,1
V125,418,1
V126,2965,1
V127,8290,1
V128,5119,1
V129,1748,1
V130,7537,1
V131,4132,1
V132,1178,1
V133,2766,1
V134,1460,1
V135,856,1
V136,1979,1
V137,1134,1
V138,48,1
V139,1374,1
V140,1076,1
V141,80,1
V142,110,1
V143,812,1
V144,443,1
V145,781,1
V146,292,1
V147,386,1
V148,533,1
V149,1175,1
V150,838,1
V151,432,1
V152,922,1
V153,330,1
V154,404,1
V155,373,1
V156,718,1
V157,367,1
V158,446,1
V159,556,1
V160,1057,1
V161,243,1
V162,244,1
V163,244,1
V164,1088,1
V165,1776,1
V166,788,1
V167,454,1
V168,655,1
V169,494,1
V170,942,1
V171,932,1
V172,154,1
V173,90,1
V174,272,1
V175,254,1
V176,481,1
V177,257,1
V178,524,1
V179,405,1
V180,376,1
V181,159,1
V182,379,1
V183,240,1
V184,261,1
V185,230,1
V186,308,1
V187,1027,1
V188,567,1
V189,824,1
V190,401,1
