feature,gain,fold
f201__id_34_CE,161,1
f201__id_35_CE,34,1
f201__id_36_CE,22,1
f201__id_37_CE,165,1
f201__id_38_CE,255,1
TransactionAmt,17780,2
ProductCD,155,2
card1,3430,2
card2,18607,2
card3,694,2
card4,93,2
card5,8270,2
card6,249,2
addr1,15560,2
addr2,404,2
dist1,10429,2
P_emaildomain,1169,2
R_emaildomain,705,2
C1,1026,2
C2,1059,2
C4,201,2
C5,333,2
C6,767,2
C7,169,2
C8,316,2
C9,703,2
C10,237,2
C11,820,2
C12,282,2
C13,1879,2
C14,796,2
D1,7636,2
D2,8078,2
D3,5914,2
D4,9963,2
D5,6108,2
D6,1609,2
D8,4991,2
D9,4271,2
D10,9575,2
D11,4724,2
D12,1891,2
D13,820,2
D14,1498,2
D15,11451,2
M2,1760,2
M3,1752,2
M4,2870,2
M5,2128,2
M6,2565,2
M7,1220,2
M8,1408,2
M9,1151,2
V3,757,2
V4,969,2
V5,1132,2
V6,314,2
V7,747,2
V8,160,2
V9,339,2
V10,469,2
V11,605,2
V12,1345,2
V13,1305,2
V17,232,2
V19,1235,2
V20,1591,2
V29,491,2
V30,562,2
V33,302,2
V34,339,2
V35,1915,2
V36,2017,2
V37,1122,2
V38,1730,2
V40,635,2
V44,1267,2
V45,1606,2
V46,440,2
V47,742,2
V48,829,2
V49,813,2
V51,534,2
V52,567,2
V53,1257,2
V54,1239,2
V56,848,2
V58,279,2
V59,185,2
V60,228,2
V61,1077,2
V62,1172,2
V63,206,2
V64,276,2
V69,564,2
V70,599,2
V71,166,2
V72,215,2
V73,272,2
V74,347,2
V75,1681,2
V76,1954,2
V78,1409,2
V80,272,2
V81,413,2
V82,1452,2
V83,1608,2
V84,229,2
V85,305,2
V87,1237,2
V90,615,2
V91,699,2
V92,269,2
V93,333,2
V94,225,2
V95,369,2
V96,2076,2
V97,836,2
V99,1620,2
V100,488,2
V126,1555,2
V127,5059,2
V128,2290,2
V130,3897,2
V131,1924,2
V138,35,2
V139,522,2
V140,468,2
V143,548,2
V145,367,2
V146,126,2
V147,163,2
V149,417,2
V150,478,2
V151,244,2
V152,329,2
V154,215,2
V156,383,2
V158,244,2
V159,340,2
V160,496,2
V161,194,2
V162,176,2
V163,176,2
V164,568,2
V165,770,2
V166,469,2
V167,229,2
V169,120,2
V170,458,2
V171,430,2
V172,80,2
V173,72,2
V175,123,2
V176,181,2
V177,143,2
V178,239,2
V180,202,2
V182,136,2
V184,90,2
V187,264,2
V188,205,2
V189,275,2
V195,77,2
V197,113,2
V200,200,2
V201,247,2
V202,733,2
V203,1071,2
V204,709,2
V205,201,2
V206,201,2
V207,378,2
V208,394,2
V209,487,2
V210,355,2
V212,508,2
V213,351,2
V214,269,2
V215,338,2
V216,346,2
V217,340,2
V219,430,2
V220,121,2
V221,652,2
V222,844,2
V223,160,2
V224,372,2
V225,198,2
V226,119,2
V227,114,2
V228,258,2
V229,424,2
V231,185,2
V233,252,2
V234,267,2
V238,140,2
V239,115,2
V242,111,2
V243,245,2
V244,162,2
V245,547,2
V246,161,2
V247,45,2
V249,63,2
V251,297,2
V253,174,2
V256,275,2
V257,264,2
V258,428,2
V259,456,2
V261,427,2
V262,386,2
V263,818,2
V264,1679,2
V265,1114,2
V266,377,2
V267,669,2
V268,517,2
V270,353,2
V271,344,2
V272,361,2
V273,389,2
V274,672,2
V275,492,2
V276,288,2
V277,562,2
V278,343,2
V279,711,2
V280,1242,2
V282,1575,2
V283,1757,2
V285,2251,2
V287,611,2
V288,384,2
V289,602,2
V291,1129,2
V292,486,2
V294,1346,2
V303,156,2
V304,129,2
V306,2481,2
V307,6478,2
V308,3768,2
V310,5521,2
V312,2710,2
V313,3118,2
V314,3275,2
V315,3721,2
V317,2697,2
V322,171,2
V323,418,2
V324,218,2
V326,106,2
V329,105,2
V331,304,2
V332,534,2
V333,318,2
V335,209,2
V336,126,2
V338,190,2
id_01,2552,2
id_02,9057,2
id_03,652,2
id_05,2658,2
id_06,3358,2
id_09,830,2
id_11,350,2
id_12,199,2
id_13,2876,2
id_14,1360,2
id_15,1213,2
id_17,409,2
id_19,5746,2
id_20,5572,2
id_30,642,2
id_31,989,2
id_32,544,2
id_33,617,2
id_36,115,2
id_37,851,2
id_38,1193,2
DeviceType,1054,2
DeviceInfo,689,2
f201__DeviceInfo_CE,2778,2
f201__DeviceType_CE,541,2
f201__M1_CE,65,2
f201__M2_CE,778,2
f201__M3_CE,1056,2
f201__M4_CE,1773,2
f201__M5_CE,1637,2
f201__M6_CE,1897,2
f201__M7_CE,489,2
f201__M8_CE,570,2
f201__M9_CE,469,2
f201__P_emaildomain_CE,6922,2
f201__ProductCD_CE,1029,2
f201__R_emaildomain_CE,3094,2
f201__addr1_CE,15191,2
f201__addr2_CE,201,2
f201__card4_CE,2022,2
f201__card6_CE,1178,2
f201__id_01_CE,1815,2
f201__id_03_CE,272,2
f201__id_04_CE,104,2
f201__id_05_CE,1845,2
f201__id_06_CE,2070,2
f201__id_07_CE,57,2
f201__id_08_CE,59,2
f201__id_09_CE,357,2
